,label,win,points,aces,dealer card,round,game number
1488,0,True,19,0,4,0,1217
1489,0,True,20,0,2,0,1218
1494,1,True,10,0,3,0,1221
1495,1,True,14,0,3,1,1221
1496,0,True,20,0,3,2,1221
1497,0,True,20,0,10,0,1222
1502,0,True,18,0,3,0,1229
1514,0,True,16,0,4,0,1238
1515,0,True,20,0,9,0,1239
1518,0,True,17,0,10,0,1242
1519,0,True,19,0,11,0,1243
1524,1,True,10,0,8,0,1247
1525,0,True,19,0,10,0,1249
1527,1,True,10,0,6,0,1251
1528,0,True,20,0,6,1,1251
1529,0,True,20,0,7,0,1252
1530,0,True,20,0,2,0,1253
1535,0,True,19,1,8,0,1256
1536,1,True,12,0,10,0,1257
1537,0,True,16,0,10,1,1257
1538,1,True,10,0,4,0,1258
1539,0,True,20,0,4,1,1258
1544,0,True,20,0,4,0,1262
1546,0,True,19,0,6,0,1265
1554,1,True,16,0,10,0,1271
1555,0,True,20,0,10,1,1271
1560,1,True,10,0,2,0,1276
1561,0,True,19,0,2,1,1276
1565,1,True,9,0,8,0,1281
1566,0,True,15,0,8,1,1281
1571,1,True,14,0,8,0,1285
1575,1,True,8,0,11,0,1289
1576,0,True,18,0,11,1,1289
1578,1,True,6,0,5,0,1292
1579,1,True,10,0,5,1,1292
1589,1,True,14,0,9,0,1302
1593,0,True,20,0,4,0,1307
1606,0,True,19,0,8,0,1318
1609,1,True,10,0,3,0,1320
1610,0,True,17,0,10,0,1321
1611,0,True,19,0,6,0,1322
1612,1,True,20,1,2,0,1323
1613,0,True,20,1,2,1,1323
1614,0,True,19,0,6,0,1324
1615,0,True,19,0,2,0,1325
1617,1,True,8,0,10,0,1327
1618,1,True,18,0,10,1,1327
1619,0,True,20,0,10,2,1327
1622,1,True,11,0,6,0,1330
1623,0,True,20,0,6,1,1330
1636,1,True,11,0,10,0,1342
1641,0,True,18,0,2,0,1345
1643,0,True,19,0,7,0,1348
1649,1,True,11,0,10,0,1353
1652,0,True,19,0,3,0,1355
